name,phone,message
Trippy Goat Cafe,+919731655707,"Hi Trippy Goat Cafe,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=trippy-goat-cafe&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
The Studio Cafe,+917892512445,"Hi The Studio Cafe,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=the-studio-cafe&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Makkah Cafe,+917019579745,"Hi Makkah Cafe,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=makkah-cafe&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Burnout Cafe,+918088682319,"Hi Burnout Cafe,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=burnout-cafe&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Cafe Down The Alley,+917406048982,"Hi Cafe Down The Alley,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-down-the-alley&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Brahmins' Coffee Bar,+919845030234,"Hi Brahmins' Coffee Bar,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=brahmins'-coffee-bar&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Cafe Hustle,+919686855008,"Hi Cafe Hustle,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-hustle&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Top Ace Cafe,+918147494747,"Hi Top Ace Cafe,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=top-ace-cafe&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Cafe Noir Indiranagar,+919620007974,"Hi Cafe Noir Indiranagar,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-noir-indiranagar&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
The Cafe At Saanchi - Authentic Persian Cuisine & Silk Route Aroma - Dining Experience,+916366204909,"Hi The Cafe At Saanchi - Authentic Persian Cuisine & Silk Route Aroma - Dining Experience,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=the-cafe-at-saanchi---authentic-persian-cuisine-an&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Board 4 Bored - A Board Game Cafe Bangalore,+919606173535,"Hi Board 4 Bored - A Board Game Cafe Bangalore,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=board-4-bored---a-board-game-cafe-bangalore&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Iris Cafe Hsr,+918041566935,"Hi Iris Cafe Hsr,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=iris-cafe-hsr&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Secret Spot Cafe,+918971285555,"Hi Secret Spot Cafe,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=secret-spot-cafe&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Cafe Terra,+918041631800,"Hi Cafe Terra,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-terra&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Cafe Medley,+918041160865,"Hi Cafe Medley,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=cafe-medley&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Bengaluru Cafe,+918296199994,"Hi Bengaluru Cafe,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=bengaluru-cafe&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
Lazy Suzy,+918073032246,"Hi Lazy Suzy,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=lazy-suzy&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
The Green Door Coffee House,+919740393173,"Hi The Green Door Coffee House,

We have an exciting website preview for your cafe!
Check it out: https://ramesh-iitkgp.github.io/business-demo-site/cafe/demo?name=the-green-door-coffee-house&location=bangalore

This is just a sample - fully customizable with your photos, menu, and more.

Best regards,
Your Digital Partner"
