name,phone,demo_link,message,whatsapp_link,status
Trippy Goat Cafe,+919731655707,http://localhost:8000/trippy-goat-cafe.html?name=trippy-goat-cafe&location=bangalore,"Hello,

I was searching for Trippy Goat Cafe on Google and noticed there isn't a proper website showing up.

So I created a quick preview for you to see how your cafe could look online:

http://localhost:8000/trippy-goat-cafe.html?name=trippy-goat-cafe&location=bangalore

This is just a sample to give you an idea — the final version can be fully customized with your actual photos, menu, ambiance, and details.

This can help customers find you directly instead of relying only on platforms like Google Maps/Zomato.

I'm currently working on such projects alongside my studies at IIT Kharagpur, and I'd be happy to set this up properly for you at a reasonable cost.

Just thought this might help 🙂",https://wa.me/+919731655707?text=Hello%2C%0A%0AI%20was%20searching%20for%20Trippy%20Goat%20Cafe%20on%20Google%20and%20noticed%20there%20isn%27t%20a%20proper%20website%20showing%20up.%0A%0ASo%20I%20created%20a%20quick%20preview%20for%20you%20to%20see%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttp%3A//localhost%3A8000/trippy-goat-cafe.html%3Fname%3Dtrippy-goat-cafe%26location%3Dbangalore%0A%0AThis%20is%20just%20a%20sample%20to%20give%20you%20an%20idea%20%E2%80%94%20the%20final%20version%20can%20be%20fully%20customized%20with%20your%20actual%20photos%2C%20menu%2C%20ambiance%2C%20and%20details.%0A%0AThis%20can%20help%20customers%20find%20you%20directly%20instead%20of%20relying%20only%20on%20platforms%20like%20Google%20Maps/Zomato.%0A%0AI%27m%20currently%20working%20on%20such%20projects%20alongside%20my%20studies%20at%20IIT%20Kharagpur%2C%20and%20I%27d%20be%20happy%20to%20set%20this%20up%20properly%20for%20you%20at%20a%20reasonable%20cost.%0A%0AJust%20thought%20this%20might%20help%20%F0%9F%99%82,ready_to_send
The Studio Cafe,+917892512445,http://localhost:8000/the-studio-cafe.html?name=the-studio-cafe&location=bangalore,"Hello,

I was searching for The Studio Cafe on Google and noticed there isn't a proper website showing up.

So I created a quick preview for you to see how your cafe could look online:

http://localhost:8000/the-studio-cafe.html?name=the-studio-cafe&location=bangalore

This is just a sample to give you an idea — the final version can be fully customized with your actual photos, menu, ambiance, and details.

This can help customers find you directly instead of relying only on platforms like Google Maps/Zomato.

I'm currently working on such projects alongside my studies at IIT Kharagpur, and I'd be happy to set this up properly for you at a reasonable cost.

Just thought this might help 🙂",https://wa.me/+917892512445?text=Hello%2C%0A%0AI%20was%20searching%20for%20The%20Studio%20Cafe%20on%20Google%20and%20noticed%20there%20isn%27t%20a%20proper%20website%20showing%20up.%0A%0ASo%20I%20created%20a%20quick%20preview%20for%20you%20to%20see%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttp%3A//localhost%3A8000/the-studio-cafe.html%3Fname%3Dthe-studio-cafe%26location%3Dbangalore%0A%0AThis%20is%20just%20a%20sample%20to%20give%20you%20an%20idea%20%E2%80%94%20the%20final%20version%20can%20be%20fully%20customized%20with%20your%20actual%20photos%2C%20menu%2C%20ambiance%2C%20and%20details.%0A%0AThis%20can%20help%20customers%20find%20you%20directly%20instead%20of%20relying%20only%20on%20platforms%20like%20Google%20Maps/Zomato.%0A%0AI%27m%20currently%20working%20on%20such%20projects%20alongside%20my%20studies%20at%20IIT%20Kharagpur%2C%20and%20I%27d%20be%20happy%20to%20set%20this%20up%20properly%20for%20you%20at%20a%20reasonable%20cost.%0A%0AJust%20thought%20this%20might%20help%20%F0%9F%99%82,ready_to_send
Makkah Cafe,+917019579745,http://localhost:8000/makkah-cafe.html?name=makkah-cafe&location=bangalore,"Hello,

I was searching for Makkah Cafe on Google and noticed there isn't a proper website showing up.

So I created a quick preview for you to see how your cafe could look online:

http://localhost:8000/makkah-cafe.html?name=makkah-cafe&location=bangalore

This is just a sample to give you an idea — the final version can be fully customized with your actual photos, menu, ambiance, and details.

This can help customers find you directly instead of relying only on platforms like Google Maps/Zomato.

I'm currently working on such projects alongside my studies at IIT Kharagpur, and I'd be happy to set this up properly for you at a reasonable cost.

Just thought this might help 🙂",https://wa.me/+917019579745?text=Hello%2C%0A%0AI%20was%20searching%20for%20Makkah%20Cafe%20on%20Google%20and%20noticed%20there%20isn%27t%20a%20proper%20website%20showing%20up.%0A%0ASo%20I%20created%20a%20quick%20preview%20for%20you%20to%20see%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttp%3A//localhost%3A8000/makkah-cafe.html%3Fname%3Dmakkah-cafe%26location%3Dbangalore%0A%0AThis%20is%20just%20a%20sample%20to%20give%20you%20an%20idea%20%E2%80%94%20the%20final%20version%20can%20be%20fully%20customized%20with%20your%20actual%20photos%2C%20menu%2C%20ambiance%2C%20and%20details.%0A%0AThis%20can%20help%20customers%20find%20you%20directly%20instead%20of%20relying%20only%20on%20platforms%20like%20Google%20Maps/Zomato.%0A%0AI%27m%20currently%20working%20on%20such%20projects%20alongside%20my%20studies%20at%20IIT%20Kharagpur%2C%20and%20I%27d%20be%20happy%20to%20set%20this%20up%20properly%20for%20you%20at%20a%20reasonable%20cost.%0A%0AJust%20thought%20this%20might%20help%20%F0%9F%99%82,ready_to_send
Burnout Cafe,+918088682319,http://localhost:8000/burnout-cafe.html?name=burnout-cafe&location=bangalore,"Hello,

I was searching for Burnout Cafe on Google and noticed there isn't a proper website showing up.

So I created a quick preview for you to see how your cafe could look online:

http://localhost:8000/burnout-cafe.html?name=burnout-cafe&location=bangalore

This is just a sample to give you an idea — the final version can be fully customized with your actual photos, menu, ambiance, and details.

This can help customers find you directly instead of relying only on platforms like Google Maps/Zomato.

I'm currently working on such projects alongside my studies at IIT Kharagpur, and I'd be happy to set this up properly for you at a reasonable cost.

Just thought this might help 🙂",https://wa.me/+918088682319?text=Hello%2C%0A%0AI%20was%20searching%20for%20Burnout%20Cafe%20on%20Google%20and%20noticed%20there%20isn%27t%20a%20proper%20website%20showing%20up.%0A%0ASo%20I%20created%20a%20quick%20preview%20for%20you%20to%20see%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttp%3A//localhost%3A8000/burnout-cafe.html%3Fname%3Dburnout-cafe%26location%3Dbangalore%0A%0AThis%20is%20just%20a%20sample%20to%20give%20you%20an%20idea%20%E2%80%94%20the%20final%20version%20can%20be%20fully%20customized%20with%20your%20actual%20photos%2C%20menu%2C%20ambiance%2C%20and%20details.%0A%0AThis%20can%20help%20customers%20find%20you%20directly%20instead%20of%20relying%20only%20on%20platforms%20like%20Google%20Maps/Zomato.%0A%0AI%27m%20currently%20working%20on%20such%20projects%20alongside%20my%20studies%20at%20IIT%20Kharagpur%2C%20and%20I%27d%20be%20happy%20to%20set%20this%20up%20properly%20for%20you%20at%20a%20reasonable%20cost.%0A%0AJust%20thought%20this%20might%20help%20%F0%9F%99%82,ready_to_send
Cafe Down The Alley,+917406048982,http://localhost:8000/cafe-down-the-alley.html?name=cafe-down-the-alley&location=bangalore,"Hello,

I was searching for Cafe Down The Alley on Google and noticed there isn't a proper website showing up.

So I created a quick preview for you to see how your cafe could look online:

http://localhost:8000/cafe-down-the-alley.html?name=cafe-down-the-alley&location=bangalore

This is just a sample to give you an idea — the final version can be fully customized with your actual photos, menu, ambiance, and details.

This can help customers find you directly instead of relying only on platforms like Google Maps/Zomato.

I'm currently working on such projects alongside my studies at IIT Kharagpur, and I'd be happy to set this up properly for you at a reasonable cost.

Just thought this might help 🙂",https://wa.me/+917406048982?text=Hello%2C%0A%0AI%20was%20searching%20for%20Cafe%20Down%20The%20Alley%20on%20Google%20and%20noticed%20there%20isn%27t%20a%20proper%20website%20showing%20up.%0A%0ASo%20I%20created%20a%20quick%20preview%20for%20you%20to%20see%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttp%3A//localhost%3A8000/cafe-down-the-alley.html%3Fname%3Dcafe-down-the-alley%26location%3Dbangalore%0A%0AThis%20is%20just%20a%20sample%20to%20give%20you%20an%20idea%20%E2%80%94%20the%20final%20version%20can%20be%20fully%20customized%20with%20your%20actual%20photos%2C%20menu%2C%20ambiance%2C%20and%20details.%0A%0AThis%20can%20help%20customers%20find%20you%20directly%20instead%20of%20relying%20only%20on%20platforms%20like%20Google%20Maps/Zomato.%0A%0AI%27m%20currently%20working%20on%20such%20projects%20alongside%20my%20studies%20at%20IIT%20Kharagpur%2C%20and%20I%27d%20be%20happy%20to%20set%20this%20up%20properly%20for%20you%20at%20a%20reasonable%20cost.%0A%0AJust%20thought%20this%20might%20help%20%F0%9F%99%82,ready_to_send
Brahmins' Coffee Bar,+919845030234,http://localhost:8000/brahmins-coffee-bar.html?name=brahmins-coffee-bar&location=bangalore,"Hello,

I was searching for Brahmins' Coffee Bar on Google and noticed there isn't a proper website showing up.

So I created a quick preview for you to see how your cafe could look online:

http://localhost:8000/brahmins-coffee-bar.html?name=brahmins-coffee-bar&location=bangalore

This is just a sample to give you an idea — the final version can be fully customized with your actual photos, menu, ambiance, and details.

This can help customers find you directly instead of relying only on platforms like Google Maps/Zomato.

I'm currently working on such projects alongside my studies at IIT Kharagpur, and I'd be happy to set this up properly for you at a reasonable cost.

Just thought this might help 🙂",https://wa.me/+919845030234?text=Hello%2C%0A%0AI%20was%20searching%20for%20Brahmins%27%20Coffee%20Bar%20on%20Google%20and%20noticed%20there%20isn%27t%20a%20proper%20website%20showing%20up.%0A%0ASo%20I%20created%20a%20quick%20preview%20for%20you%20to%20see%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttp%3A//localhost%3A8000/brahmins-coffee-bar.html%3Fname%3Dbrahmins-coffee-bar%26location%3Dbangalore%0A%0AThis%20is%20just%20a%20sample%20to%20give%20you%20an%20idea%20%E2%80%94%20the%20final%20version%20can%20be%20fully%20customized%20with%20your%20actual%20photos%2C%20menu%2C%20ambiance%2C%20and%20details.%0A%0AThis%20can%20help%20customers%20find%20you%20directly%20instead%20of%20relying%20only%20on%20platforms%20like%20Google%20Maps/Zomato.%0A%0AI%27m%20currently%20working%20on%20such%20projects%20alongside%20my%20studies%20at%20IIT%20Kharagpur%2C%20and%20I%27d%20be%20happy%20to%20set%20this%20up%20properly%20for%20you%20at%20a%20reasonable%20cost.%0A%0AJust%20thought%20this%20might%20help%20%F0%9F%99%82,ready_to_send
Cafe Hustle,+919686855008,http://localhost:8000/cafe-hustle.html?name=cafe-hustle&location=bangalore,"Hello,

I was searching for Cafe Hustle on Google and noticed there isn't a proper website showing up.

So I created a quick preview for you to see how your cafe could look online:

http://localhost:8000/cafe-hustle.html?name=cafe-hustle&location=bangalore

This is just a sample to give you an idea — the final version can be fully customized with your actual photos, menu, ambiance, and details.

This can help customers find you directly instead of relying only on platforms like Google Maps/Zomato.

I'm currently working on such projects alongside my studies at IIT Kharagpur, and I'd be happy to set this up properly for you at a reasonable cost.

Just thought this might help 🙂",https://wa.me/+919686855008?text=Hello%2C%0A%0AI%20was%20searching%20for%20Cafe%20Hustle%20on%20Google%20and%20noticed%20there%20isn%27t%20a%20proper%20website%20showing%20up.%0A%0ASo%20I%20created%20a%20quick%20preview%20for%20you%20to%20see%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttp%3A//localhost%3A8000/cafe-hustle.html%3Fname%3Dcafe-hustle%26location%3Dbangalore%0A%0AThis%20is%20just%20a%20sample%20to%20give%20you%20an%20idea%20%E2%80%94%20the%20final%20version%20can%20be%20fully%20customized%20with%20your%20actual%20photos%2C%20menu%2C%20ambiance%2C%20and%20details.%0A%0AThis%20can%20help%20customers%20find%20you%20directly%20instead%20of%20relying%20only%20on%20platforms%20like%20Google%20Maps/Zomato.%0A%0AI%27m%20currently%20working%20on%20such%20projects%20alongside%20my%20studies%20at%20IIT%20Kharagpur%2C%20and%20I%27d%20be%20happy%20to%20set%20this%20up%20properly%20for%20you%20at%20a%20reasonable%20cost.%0A%0AJust%20thought%20this%20might%20help%20%F0%9F%99%82,ready_to_send
Top Ace Cafe,+918147494747,http://localhost:8000/top-ace-cafe.html?name=top-ace-cafe&location=bangalore,"Hello,

I was searching for Top Ace Cafe on Google and noticed there isn't a proper website showing up.

So I created a quick preview for you to see how your cafe could look online:

http://localhost:8000/top-ace-cafe.html?name=top-ace-cafe&location=bangalore

This is just a sample to give you an idea — the final version can be fully customized with your actual photos, menu, ambiance, and details.

This can help customers find you directly instead of relying only on platforms like Google Maps/Zomato.

I'm currently working on such projects alongside my studies at IIT Kharagpur, and I'd be happy to set this up properly for you at a reasonable cost.

Just thought this might help 🙂",https://wa.me/+918147494747?text=Hello%2C%0A%0AI%20was%20searching%20for%20Top%20Ace%20Cafe%20on%20Google%20and%20noticed%20there%20isn%27t%20a%20proper%20website%20showing%20up.%0A%0ASo%20I%20created%20a%20quick%20preview%20for%20you%20to%20see%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttp%3A//localhost%3A8000/top-ace-cafe.html%3Fname%3Dtop-ace-cafe%26location%3Dbangalore%0A%0AThis%20is%20just%20a%20sample%20to%20give%20you%20an%20idea%20%E2%80%94%20the%20final%20version%20can%20be%20fully%20customized%20with%20your%20actual%20photos%2C%20menu%2C%20ambiance%2C%20and%20details.%0A%0AThis%20can%20help%20customers%20find%20you%20directly%20instead%20of%20relying%20only%20on%20platforms%20like%20Google%20Maps/Zomato.%0A%0AI%27m%20currently%20working%20on%20such%20projects%20alongside%20my%20studies%20at%20IIT%20Kharagpur%2C%20and%20I%27d%20be%20happy%20to%20set%20this%20up%20properly%20for%20you%20at%20a%20reasonable%20cost.%0A%0AJust%20thought%20this%20might%20help%20%F0%9F%99%82,ready_to_send
Cafe Noir Indiranagar,+919620007974,http://localhost:8000/cafe-noir-indiranagar.html?name=cafe-noir-indiranagar&location=bangalore,"Hello,

I was searching for Cafe Noir Indiranagar on Google and noticed there isn't a proper website showing up.

So I created a quick preview for you to see how your cafe could look online:

http://localhost:8000/cafe-noir-indiranagar.html?name=cafe-noir-indiranagar&location=bangalore

This is just a sample to give you an idea — the final version can be fully customized with your actual photos, menu, ambiance, and details.

This can help customers find you directly instead of relying only on platforms like Google Maps/Zomato.

I'm currently working on such projects alongside my studies at IIT Kharagpur, and I'd be happy to set this up properly for you at a reasonable cost.

Just thought this might help 🙂",https://wa.me/+919620007974?text=Hello%2C%0A%0AI%20was%20searching%20for%20Cafe%20Noir%20Indiranagar%20on%20Google%20and%20noticed%20there%20isn%27t%20a%20proper%20website%20showing%20up.%0A%0ASo%20I%20created%20a%20quick%20preview%20for%20you%20to%20see%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttp%3A//localhost%3A8000/cafe-noir-indiranagar.html%3Fname%3Dcafe-noir-indiranagar%26location%3Dbangalore%0A%0AThis%20is%20just%20a%20sample%20to%20give%20you%20an%20idea%20%E2%80%94%20the%20final%20version%20can%20be%20fully%20customized%20with%20your%20actual%20photos%2C%20menu%2C%20ambiance%2C%20and%20details.%0A%0AThis%20can%20help%20customers%20find%20you%20directly%20instead%20of%20relying%20only%20on%20platforms%20like%20Google%20Maps/Zomato.%0A%0AI%27m%20currently%20working%20on%20such%20projects%20alongside%20my%20studies%20at%20IIT%20Kharagpur%2C%20and%20I%27d%20be%20happy%20to%20set%20this%20up%20properly%20for%20you%20at%20a%20reasonable%20cost.%0A%0AJust%20thought%20this%20might%20help%20%F0%9F%99%82,ready_to_send
The Cafe At Saanchi - Authentic Persian Cuisine & Silk Route Aroma - Dining Experience,+916366204909,http://localhost:8000/the-cafe-at-saanchi---authentic-persian-cuisine-&-silk-route-aroma---dining-experience.html?name=the-cafe-at-saanchi---authentic-persian-cuisine-&-silk-route-aroma---dining-experience&location=bangalore,"Hello,

I was searching for The Cafe At Saanchi - Authentic Persian Cuisine & Silk Route Aroma - Dining Experience on Google and noticed there isn't a proper website showing up.

So I created a quick preview for you to see how your cafe could look online:

http://localhost:8000/the-cafe-at-saanchi---authentic-persian-cuisine-&-silk-route-aroma---dining-experience.html?name=the-cafe-at-saanchi---authentic-persian-cuisine-&-silk-route-aroma---dining-experience&location=bangalore

This is just a sample to give you an idea — the final version can be fully customized with your actual photos, menu, ambiance, and details.

This can help customers find you directly instead of relying only on platforms like Google Maps/Zomato.

I'm currently working on such projects alongside my studies at IIT Kharagpur, and I'd be happy to set this up properly for you at a reasonable cost.

Just thought this might help 🙂",https://wa.me/+916366204909?text=Hello%2C%0A%0AI%20was%20searching%20for%20The%20Cafe%20At%20Saanchi%20-%20Authentic%20Persian%20Cuisine%20%26%20Silk%20Route%20Aroma%20-%20Dining%20Experience%20on%20Google%20and%20noticed%20there%20isn%27t%20a%20proper%20website%20showing%20up.%0A%0ASo%20I%20created%20a%20quick%20preview%20for%20you%20to%20see%20how%20your%20cafe%20could%20look%20online%3A%0A%0Ahttp%3A//localhost%3A8000/the-cafe-at-saanchi---authentic-persian-cuisine-%26-silk-route-aroma---dining-experience.html%3Fname%3Dthe-cafe-at-saanchi---authentic-persian-cuisine-%26-silk-route-aroma---dining-experience%26location%3Dbangalore%0A%0AThis%20is%20just%20a%20sample%20to%20give%20you%20an%20idea%20%E2%80%94%20the%20final%20version%20can%20be%20fully%20customized%20with%20your%20actual%20photos%2C%20menu%2C%20ambiance%2C%20and%20details.%0A%0AThis%20can%20help%20customers%20find%20you%20directly%20instead%20of%20relying%20only%20on%20platforms%20like%20Google%20Maps/Zomato.%0A%0AI%27m%20currently%20working%20on%20such%20projects%20alongside%20my%20studies%20at%20IIT%20Kharagpur%2C%20and%20I%27d%20be%20happy%20to%20set%20this%20up%20properly%20for%20you%20at%20a%20reasonable%20cost.%0A%0AJust%20thought%20this%20might%20help%20%F0%9F%99%82,ready_to_send
